Date,EBAY,YAHOO
8/1/2011,33.019999,13.1
8/2/2011,31.75,12.76
8/3/2011,32.25,13.02
8/4/2011,30.04,12
8/5/2011,29.299999,11.74
8/8/2011,26.949998,11.09
8/9/2011,30.159999,12.09
8/10/2011,29.149999,11.77
8/11/2011,30.199999,12.86
8/12/2011,30.529998,13.59
8/15/2011,30.89,13.47
8/16/2011,30.359999,13.48
8/17/2011,30.249999,13.47
8/18/2011,27.939999,12.96
8/19/2011,27.16,12.92
8/22/2011,27.36,12.84
8/23/2011,28.92,13.35
8/24/2011,29.049999,13.15
8/25/2011,28.33,12.87
8/26/2011,29.459999,12.74
8/29/2011,30.49,13.68
8/30/2011,30.949999,13.84
8/31/2011,30.869999,13.61
9/1/2011,30.39,13.35
9/2/2011,29.409999,12.87
9/6/2011,29.269998,12.91
9/7/2011,29.749999,13.61
9/8/2011,30.509999,14.44
9/9/2011,28.459998,14.48
9/12/2011,29.419998,14.26
9/13/2011,29.399999,14.26
9/14/2011,30.14,14.55
9/15/2011,32.039998,14.89
9/16/2011,33.689998,14.97
9/19/2011,33.1,14.61
9/20/2011,32.729999,14.36
9/21/2011,32.239998,13.96
9/22/2011,31.669999,13.99
9/23/2011,32.079998,14.71
9/26/2011,32.55,14.75
9/27/2011,32.519999,14.54
9/28/2011,31.64,14.19
9/29/2011,30.669998,13.42
9/30/2011,29.489999,13.17
10/3/2011,28.109998,13.53
10/4/2011,29.349999,14.46
10/5/2011,30.529998,15.92
10/6/2011,31.44,15.65
10/7/2011,31.069999,15.47
10/10/2011,32.3,15.84
10/11/2011,32.829999,15.86
10/12/2011,32.75,15.77
10/13/2011,32.739998,15.93
10/14/2011,33.689998,15.91
10/17/2011,33.219999,15.7
10/18/2011,33.869999,15.47
10/19/2011,33.179999,15.94
10/20/2011,32.15,16.18
10/21/2011,32.119999,16.120001
10/24/2011,32.369999,16.709999
10/25/2011,31.669999,16.24
10/26/2011,31.079998,16.299999
10/27/2011,32.289998,16.629999
10/28/2011,33.25,16.559999
10/31/2011,31.829998,15.64
11/1/2011,30.89,14.93
11/2/2011,31.779998,15.1
11/3/2011,33.05,15.48
11/4/2011,32.709999,15.24
11/7/2011,32.469999,15.69
11/8/2011,32.919999,15.97
11/9/2011,31.179998,15.92
11/10/2011,30.749999,15.95
11/11/2011,31.759999,16.27
11/14/2011,31.409999,16
11/15/2011,31.45,15.93
11/16/2011,30.54,15.72
11/17/2011,29.649999,15.34
11/18/2011,29.809999,15.38
11/21/2011,28.749999,14.99
11/22/2011,29.039999,14.97
11/23/2011,28.549999,14.94
11/25/2011,28.23,15.1
11/28/2011,29.659999,15.35
11/29/2011,28.749999,15.7
11/30/2011,29.59,15.71
12/1/2011,29.68,16.23
12/2/2011,29.599999,16.049999
12/5/2011,30.699999,15.89
12/6/2011,30.899999,15.84
12/7/2011,30.94,15.62
12/8/2011,31.029998,15.61
12/9/2011,31.64,15.94
12/12/2011,31.129998,15.47
12/13/2011,30.84,15.42
12/14/2011,30.269998,15.02
12/15/2011,29.599999,15.16
12/16/2011,30.399999,14.96
12/19/2011,29.769998,14.62
12/20/2011,30.629998,15.11
12/21/2011,30.34,15.99
12/22/2011,30.609999,16
12/23/2011,30.84,16.190001
12/27/2011,30.919999,16.09
12/28/2011,30.409999,15.78
12/29/2011,30.359999,16.129999
12/30/2011,30.33,16.129999
1/3/2012,31.34,16.290001
1/4/2012,30.159999,15.78
1/5/2012,30.709999,15.64
1/6/2012,30.629998,15.52
1/9/2012,30.509999,15.46
1/10/2012,31.2,15.51
1/11/2012,31.519999,15.53
1/12/2012,31.579998,15.66
1/13/2012,30.619998,15.48
1/17/2012,30.529998,15.43
1/18/2012,30.34,15.92
1/19/2012,31.509999,16.120001
1/20/2012,31.929998,15.96
1/23/2012,31.989998,15.68
1/24/2012,31.95,15.69
1/25/2012,31.939998,15.56
1/26/2012,31.709999,15.53
1/27/2012,31.85,15.74
1/30/2012,31.579998,15.55
1/31/2012,31.6,15.47
2/1/2012,32.2,15.73
2/2/2012,32.7,15.72
2/3/2012,32.95,15.92
2/6/2012,32.639998,15.82
2/7/2012,32.869999,15.83
2/8/2012,33.05,15.78
2/9/2012,33.26,16
2/10/2012,33.029999,16.139999
2/13/2012,33.16,16.120001
2/14/2012,32.96,15.37
2/15/2012,33.31,15.12
2/16/2012,34.51,15.36
2/17/2012,35.059998,15.01
2/21/2012,35.139999,14.75
2/22/2012,34.67,14.5
2/23/2012,36.02,14.78
2/24/2012,36.359998,14.89
2/27/2012,36.559998,14.86
2/28/2012,36.619998,14.9
2/29/2012,35.739999,14.83
3/1/2012,36.37,14.93
3/2/2012,36.249999,14.72
3/5/2012,35.72,14.62
3/6/2012,35.109998,14.42
3/7/2012,35.589999,14.62
3/8/2012,35.779999,14.62
3/9/2012,36.249999,14.63
3/12/2012,36.18,14.49
3/13/2012,37.33,14.55
3/14/2012,37.619998,14.63
3/15/2012,36.83,14.89
3/16/2012,37.689999,15.18
3/19/2012,37.79,15.15
3/20/2012,37.389999,15.41
3/21/2012,37.419998,15.51
3/22/2012,37.619998,15.49
3/23/2012,37.089999,15.39
3/26/2012,38.079998,15.54
3/27/2012,37.869998,15.43
